"Ticker","Nome","Negócios","Última (R$)","Variação"
"UNIP6","Unipar","191.300","60,39","-0,69%"
"SHUL4","Schulz","162.300","5,00","-1,19%"
"BRST3","Brisanet","159.300","3,37","-0,59%"
"SEQL3","Sequoia Logística","155.800","2,13","-1,39%"
"TAEE4","Taesa","152.800","13,25","-1,19%"
"AGRO3","BrasilAgro","142.600","20,11","-0,79%"
"ALPK3","Estapar","135.800","4,52","+1,57%"
"ROMI3","Indústrias ROMI","133.600","8,02","+0,25%"
"PTBL3","Portobello","133.100","3,25","-0,31%"
"PFRM3","Profarma","131.700","8,10","-1,94%"
"TGMA3","Tegma","120.400","34,65","-2,61%"
"VITT3","Vittia","118.300","4,50","-1,96%"
"UCAS3","Unicasa","116.200","1,31","-5,07%"
"AMAR3","Lojas Marisa","113.600","1,02","+0,99%"
"SAPR3","Sanepar","107.900","9,95","+0,10%"
"FRAS3","Fras-le","102.200","23,90","-0,42%"
"DMVF3","D1000 Varejo Farma","93.000","7,00","+1,74%"
"RNEW4","Renova Energia","85.100","0,87","+0,00%"
"BIOM3","Biomm","83.300","7,05","+0,71%"
"CMIG3","Cemig","78.700","14,29","+0,56%"
"TAEE3","Taesa","74.200","13,03","-1,29%"
"SANB4","Banco Santander","72.300","16,83","-0,77%"
"SANB3","Banco Santander","70.200","16,17","-0,49%"
"BRAP3","Bradespar","66.500","19,41","-0,10%"
"SCAR3","São Carlos","56.900","13,70","-0,87%"
"FICT3","Fictor Alimentos","54.100","1,50","-6,83%"
"RNEW3","Renova Energia","51.200","1,00","+0,00%"
"ETER3","Eternit","49.700","4,01","-0,25%"
"MATD3","Mater Dei","45.200","5,21","+0,97%"
"IGTI3","Iguatemi","44.900","3,25","+0,00%"
"IGTI3","Jereissati Participações","44.900","3,25","+0,00%"
"VSTE3","LE LIS BLANC","39.400","3,91","+0,26%"
"LAND3","Terra Santa","39.100","8,50","-0,93%"
"LOGN3","Log-In","34.500","33,00","+0,30%"
"TCSA3","Tecnisa","34.200","1,20","-5,51%"
"AMOB3","Automob","32.800","13,15","+0,08%"
"EUCA4","Eucatex","32.700","19,08","+1,49%"
"PDGR3","PDG Realty","32.200","1,28","-0,78%"
"AALR3","Alliança","30.600","4,35","-0,91%"
"AERI3","Aeris Energy","29.900","3,17","-1,55%"
"CSUD3","CSU Cardsystem","29.100","17,72","-1,23%"
"AGXY3","AgroGalaxy","26.700","4,04","-1,94%"
"BIED3","Bioma","26.300","5,00","-10,55%"
"SHOW3","Time For Fun","24.900","6,23","-2,66%"
"BRKM3","Braskem","23.900","8,55","-2,06%"
"AZEV11","Azevedo & Travassos","23.500","0,08","+0,00%"
"DEXP4","Dexxos","22.500","7,31","-8,51%"
"EALT4","Electro Aço Altona","21.900","14,01","-1,62%"
"BMEB4","Banco Mercantil do Brasil","19.900","59,60","+4,31%"
"TPIS3","Triunfo","18.200","5,29","-2,04%"
"INEP3","Inepar","17.500","1,38","+2,99%"
"WDCN3","WDC Networks","17.400","2,74","+0,74%"
"TECN3","Technos","17.300","7,35","+2,23%"
"CAMB3","Cambuci","17.200","9,20","+0,44%"
"EPAR3","Embpar Participações","15.900","3,99","-0,75%"
"AVLL3","Alphaville","14.900","0,85","-2,30%"
"GGBR3","Gerdau","14.500","18,65","-0,69%"
"UNIP3","Unipar","14.100","56,04","-3,76%"
"RAPT3","Randon","12.200","6,55","+0,92%"
"PINE3","Banco Pine","12.000","13,09","-1,73%"
"GOAU3","Metalúrgica Gerdau","12.000","9,38","-1,16%"
"PTNT3","Pettenati","11.400","8,40","-4,65%"
"MNPR3","Minupar","10.800","4,25","+1,19%"
"FHER3","Fertilizantes Heringer","10.800","4,19","-0,48%"
"TASA3","Taurus","9.800","5,64","+0,89%"
"DOTZ3","Dotz","9.200","4,04","-0,25%"
"BRSR3","Banrisul","9.000","17,50","-2,23%"
"WHRL4","Whirlpool","8.200","4,55","-0,44%"
